airport_code,completion_rate,average_eta,active_drivers,driver_cancellation_rate,queue_size,surge_multiplier,request_volume,timestamp
SFO,0.9495,6.32,143,0.0335,53,1.25,332,2026-09-15 00:00:00
SFO,0.9429,5.89,134,0.0468,48,1.26,333,2026-09-15 01:00:00
SFO,0.9426,5.48,137,0.0452,49,1.25,311,2026-09-15 02:00:00
SFO,0.9393,6.43,158,0.0351,54,1.11,305,2026-09-15 03:00:00
SFO,0.9374,6.68,150,0.0372,52,1.19,293,2026-09-15 04:00:00
SFO,0.9387,5.7,134,0.0427,48,1.27,295,2026-09-15 05:00:00
SFO,0.9308,10.34,139,0.0412,85,1.3,524,2026-09-15 06:00:00
SFO,0.9391,10.3,136,0.0456,66,1.32,467,2026-09-15 07:00:00
SFO,0.9344,8.88,146,0.0457,69,1.27,499,2026-09-15 08:00:00
SFO,0.9256,9.82,148,0.0399,79,1.25,530,2026-09-15 09:00:00
SFO,0.9344,7.99,142,0.0337,75,1.17,415,2026-09-15 10:00:00
SFO,0.945,8.79,146,0.0393,74,1.15,455,2026-09-15 11:00:00
SFO,0.9388,8.41,133,0.0353,72,1.15,398,2026-09-15 12:00:00
SFO,0.936,8.12,143,0.0428,65,1.13,458,2026-09-15 13:00:00
SFO,0.9481,8.85,158,0.037,76,1.27,407,2026-09-15 14:00:00
SFO,0.9379,7.74,143,0.0472,63,1.16,460,2026-09-15 15:00:00
SFO,0.9369,11.32,147,0.0486,76,1.28,524,2026-09-15 16:00:00
SFO,0.9233,9.55,147,0.0432,88,1.29,559,2026-09-15 17:00:00
SFO,0.941,10.7,134,0.0392,74,1.31,527,2026-09-15 18:00:00
SFO,0.9382,11.55,147,0.0442,72,1.21,529,2026-09-15 19:00:00
SFO,0.9278,10.67,144,0.0441,95,1.26,544,2026-09-15 20:00:00
SFO,0.9328,6.49,143,0.0463,41,1.21,316,2026-09-15 21:00:00
SFO,0.9454,6.27,149,0.0436,45,1.12,290,2026-09-15 22:00:00
SFO,0.9466,6.13,137,0.0379,41,1.26,341,2026-09-15 23:00:00
LAX,0.9287,7.6,196,0.0461,57,1.33,368,2026-09-15 00:00:00
LAX,0.927,8.22,177,0.054,70,1.48,347,2026-09-15 01:00:00
LAX,0.9119,7.84,173,0.048,66,1.45,383,2026-09-15 02:00:00
LAX,0.912,6.95,195,0.0553,56,1.34,364,2026-09-15 03:00:00
LAX,0.9286,7.26,193,0.0544,55,1.4,390,2026-09-15 04:00:00
LAX,0.9119,6.97,162,0.0528,56,1.4,355,2026-09-15 05:00:00
LAX,0.9185,12.92,182,0.0564,89,1.39,635,2026-09-15 06:00:00
LAX,0.9177,11.59,195,0.0528,95,1.55,565,2026-09-15 07:00:00
LAX,0.9061,12.27,195,0.0551,84,1.39,585,2026-09-15 08:00:00
LAX,0.9128,13.26,196,0.0579,101,1.52,602,2026-09-15 09:00:00
LAX,0.9194,11.29,165,0.0465,94,1.44,483,2026-09-15 10:00:00
LAX,0.9218,10.31,183,0.0496,83,1.49,574,2026-09-15 11:00:00
LAX,0.9097,11.17,170,0.0558,79,1.33,530,2026-09-15 12:00:00
LAX,0.9272,10.17,167,0.0451,94,1.35,545,2026-09-15 13:00:00
LAX,0.9122,9.5,167,0.0436,76,1.33,512,2026-09-15 14:00:00
LAX,0.9261,10.18,186,0.0508,83,1.49,545,2026-09-15 15:00:00
LAX,0.9097,12.41,168,0.0556,98,1.4,602,2026-09-15 16:00:00
LAX,0.921,14.08,180,0.0473,93,1.41,646,2026-09-15 17:00:00
LAX,0.9135,13.99,194,0.059,121,1.55,708,2026-09-15 18:00:00
LAX,0.9094,14.15,181,0.0539,107,1.52,614,2026-09-15 19:00:00
LAX,0.9098,12.89,167,0.0502,105,1.46,632,2026-09-15 20:00:00
LAX,0.9269,7.24,175,0.0572,64,1.4,369,2026-09-15 21:00:00
LAX,0.9197,7.83,181,0.0549,67,1.43,369,2026-09-15 22:00:00
LAX,0.9115,7.9,188,0.0558,56,1.42,366,2026-09-15 23:00:00
JFK,0.9083,9.12,172,0.0542,49,1.56,330,2026-09-15 00:00:00
JFK,0.9006,9.14,174,0.0561,61,1.42,366,2026-09-15 01:00:00
JFK,0.8986,8.46,154,0.0595,57,1.55,368,2026-09-15 02:00:00
JFK,0.8916,9.12,164,0.0539,57,1.42,381,2026-09-15 03:00:00
JFK,0.9065,8.64,162,0.0573,60,1.55,371,2026-09-15 04:00:00
JFK,0.9078,7.71,160,0.0544,53,1.49,343,2026-09-15 05:00:00
JFK,0.8911,14.6,172,0.0675,91,1.54,562,2026-09-15 06:00:00
JFK,0.894,12.22,172,0.0686,102,1.48,632,2026-09-15 07:00:00
JFK,0.8873,13.2,171,0.0682,76,1.55,586,2026-09-15 08:00:00
JFK,0.9036,14.15,158,0.0568,101,1.64,569,2026-09-15 09:00:00
JFK,0.8991,12.93,176,0.0634,69,1.43,482,2026-09-15 10:00:00
JFK,0.8897,10.76,149,0.0652,72,1.6,544,2026-09-15 11:00:00
JFK,0.9023,10.53,149,0.0624,67,1.46,519,2026-09-15 12:00:00
JFK,0.8997,12.75,150,0.0651,85,1.58,539,2026-09-15 13:00:00
JFK,0.8984,11.68,155,0.0647,69,1.59,457,2026-09-15 14:00:00
JFK,0.9055,11.08,172,0.0641,71,1.54,469,2026-09-15 15:00:00
JFK,0.8824,15.65,168,0.0679,84,1.51,568,2026-09-15 16:00:00
JFK,0.8906,15.34,180,0.0667,96,1.52,584,2026-09-15 17:00:00
JFK,0.8979,15.07,158,0.0669,99,1.52,679,2026-09-15 18:00:00
JFK,0.8863,13.25,161,0.0586,96,1.55,625,2026-09-15 19:00:00
JFK,0.8843,14.17,168,0.063,101,1.61,615,2026-09-15 20:00:00
JFK,0.9003,8.29,149,0.0556,54,1.51,346,2026-09-15 21:00:00
JFK,0.8981,8.0,169,0.0646,58,1.49,374,2026-09-15 22:00:00
JFK,0.9052,8.76,160,0.0662,56,1.5,369,2026-09-15 23:00:00
